TYPE,YEAR,MONTH,DAY,HOUR,MINUTE,HUNDRED_BLOCK,NEIGHBOURHOOD,X,Y
Other Crimes,2019,3,13,17,30,26XX OXFORD ST,Hastings-Sunrise,496271.0456,5459220.844
Other Crimes,2019,11,22,11,14,26XX OXFORD ST,Hastings-Sunrise,496296.8777,5459220.649
Other Crimes,2019,5,17,19,0,26XX OXFORD ST,Hastings-Sunrise,496333.7808,5459220.37
Other Crimes,2019,11,10,8,30,26XX OXFORD ST,Hastings-Sunrise,496357.7382,5459211.045
Other Crimes,2019,10,11,20,0,26XX TRIUMPH ST,Hastings-Sunrise,496337,5459021
Other Crimes,2019,3,18,23,0,26XX VENABLES ST,Hastings-Sunrise,496326.5412,5458206.625
Other Crimes,2019,11,15,8,7,26XX VENABLES ST,Hastings-Sunrise,496337.6551,5458206.456
Other Crimes,2019,1,25,20,22,27XX ADANAC ST,Hastings-Sunrise,496418.3604,5458298.86
Other Crimes,2019,8,4,16,38,27XX CHARLES ST,Hastings-Sunrise,496466.7729,5457840.111
Other Crimes,2019,1,16,20,0,27XX CHARLES ST,Hastings-Sunrise,496487.0855,5457830.899
Other Crimes,2019,10,14,19,12,27XX DUNDAS ST,Hastings-Sunrise,496489.1285,5459119.347
Other Crimes,2019,12,28,4,58,27XX E 4TH AVE,Hastings-Sunrise,496538.3189,5457106.195
Other Crimes,2019,10,14,6,0,27XX E 7TH AVE,Hastings-Sunrise,496483.8969,5456785.564
Other Crimes,2019,5,12,11,22,27XX E 8TH AVE,Hastings-Sunrise,496430.9737,5456693.281
Other Crimes,2019,9,11,0,0,27XX ETON ST,Hastings-Sunrise,496452.8698,5459437.419
Other Crimes,2019,1,31,9,25,27XX ETON ST,Hastings-Sunrise,496543.9309,5459436.775
Other Crimes,2019,12,28,3,57,27XX MCGILL ST,Hastings-Sunrise,496451.2543,5459548.159
Other Crimes,2019,6,28,22,37,27XX MCGILL ST,Hastings-Sunrise,496488.7957,5459557.389
Other Crimes,2019,10,14,20,0,27XX OXFORD ST,Hastings-Sunrise,496506.6671,5459210.195
Other Crimes,2019,9,15,15,58,27XX OXFORD ST,Hastings-Sunrise,496510.3615,5459219.323
Other Crimes,2019,11,28,6,2,27XX OXFORD ST,Hastings-Sunrise,496554.1461,5459209.977
Other Crimes,2019,5,9,22,0,27XX PANDORA ST,Hastings-Sunrise,496469.9637,5458910.481
